chr01	12272	+	14	24
chr01	12365	-	11	24
chr01	27874	-	3	5
chr01	27920	-	4	9
chr01	28548	+	12	29
chr01	39812	-	9	18
chr01	152584	+	10	21
chr01	152591	-	8	19
chr01	178615	+	2	4
chr01	277664	+	4	9
chr01	278318	+	3	7
chr01	357026	-	3	6
chr01	365140	+	3	5
chr01	376781	-	9	15
chr01	431249	+	6	14
chr01	499699	-	6	10
chr01	534036	+	9	15
chr01	695210	-	4	9
chr01	695234	+	5	10
chr01	783669	-	7	16
chr01	942218	+	7	15
chr01	976475	-	3	6
chr01	979465	+	3	5
chr01	1022861	-	2	4
chr01	1022875	+	2	4
chr01	1080276	+	11	25
chr01	1086513	+	11	20
chr01	1192425	+	10	17
chr01	1192578	+	3	7
chr01	1194953	+	3	5
chr01	23468	+	7	8
chr01	23480	-	8	10
chr01	34178	+	17	17
chr01	34747	-	17	17
chr01	45266	+	4	4
chr01	54649	+	21	22
chr01	54761	-	14	14
chr01	55191	+	5	6
chr01	55329	+	9	12
chr01	55379	-	23	25
chr01	61930	+	11	11
chr01	62093	-	11	11
chr01	66378	+	30	32
chr01	66379	-	23	25
chr01	83974	+	12	12
chr01	84145	-	14	14
chr01	157046	+	8	8
chr01	157213	-	2	2
chr01	185644	+	7	7
chr01	186207	-	5	5
chr01	318944	-	3	4
chr01	372229	-	3	4
chr01	376697	+	5	6
chr01	400744	+	23	23
chr01	400778	-	22	22
chr01	426371	-	10	10
chr01	433999	+	10	10
chr01	516482	-	2	2
chr01	534173	-	15	15
chr01	573837	-	3	3
chr01	574763	-	7	8
chr01	679063	+	2	2
chr01	679144	-	3	3
chr01	693550	-	2	2
chr01	722922	+	6	6
chr01	723070	-	9	9
chr01	872658	+	15	15
chr01	872842	-	19	19
chr01	917521	-	6	6
chr01	975047	+	9	10
chr01	975095	+	26	26
chr01	975278	-	25	25
chr01	976821	+	13	14
chr01	976861	-	12	14
chr01	1041571	-	11	11
chr01	1051047	+	9	12
chr01	1053931	+	2	2
chr01	1135158	+	31	31
chr01	1135231	+	2	2
chr01	1135287	-	22	22
chr01	1192797	-	13	13
chr01	1215349	+	10	10
chr01	1215487	-	17	17
chr01	1217903	+	17	19
chr01	1226378	+	20	20
chr01	1226789	-	28	28
chr01	1291429	+	2	2
chr01	1291431	-	5	6
